Pile Ref,Drilling - Start day, Drilling Time- Start,Drilling - End day,Time- End, + Top Level Casing (FROM MSL), -  Bottom Level Casing (FROM MSL),Casing Length ,Sediment Level (First material),Rock Level ,Pile - Level Of Support,Pile Socket,Rock Socket,sup,Casting day,Concreting Time- Start,Concreting Time-End,m3 First truck,Type of slump first truck,Slump first truck (mm),Superplasticizer or water added first truck,m3 second truck,Type of slump second truck,Slump second trick (mm),Superplasticizer or water added second truck,m3 third truck,Type of slump third truck,Slump third truck (mm),Superplasticizer or water added third truck,Theoretical Site Concrete volume m3,Concrete used m3,Position Coordinate X, Position Coordinate Y,CROSS HOLE SONIC SUBMISSION DAY ,PILE STATUS ,DEFECT  LOCATION 1 (CSL),DEFECT  LOCATION 2 (CSL),DEFECT  LOCATION 3 (CSL)
19,21/02/2023,07:00,21/02/2023,18:00,1.87,21.13,23,14.10,20.5,24.73,0.63,3.60,GPBL ,22/02/2023,14:00,16:00,9.5,TRUE,190,yes,9.5,TRUE,160,no,,,,,17.7,19.0,455917.7,3972357.1,04/04/2023,REJECTED,FALSE,11.48,1.98
49,23/02/2023,10:30,24/02/2023,08:00,1.98,21.02,23,13.50,20.50,24.62,0.52,3.60,GPBL ,24/02/2023,16:10,17:40,9.5,TRUE,190,no,9.5,TRUE,190,no,,,,,17.7,19.0,455964.9,3972391.0,27/04/2023,REJECTED,12.37,7.37,2.37
58,25/02/2023,11:00,27/02/2023,08:00,1.94,20.06,22,14.00,19.50,23.56,0.56,3.50,GPBL ,27/02/2023,16:30,17:45,9.25,TRUE,180,yes,9.25,TRUE,180,yes,,,,,17.0,18.5,455978.8,3972402.5,27/04/2023,REJECTED,23,21,1.46
61,28/02/2023,10:00,28/02/2023,17:00,2.05,20.95,23,14.00,20.50,24.55,0.45,3.60,GPBL ,01/03/2023,13:40,15:20,9.5,Shear,190,no,9.5,TRUE,190,no,,,,,17.7,19.0,455984.2,3972406.3,04/04/2023,REJECTED,24.6,FALSE,FALSE
64,02/02/2023,11:00,03/03/2023,15:00,2.04,20.96,23,13.50,20.50,24.16,0.46,3.20,GPBL ,06/03/2023,10:00,11:30,9,Shear,190,no,9.5,Collapse,220,no,,,,,17.4,18.5,455989.5,3972410.1,04/04/2023,REJECTED,21,15,1
59,04/03/2023,10:00,06/03/2023,11:00,2.2,23.8,26,13.90,23.00,27.00,0.8,3.20,GPBL ,07/03/2023,18:00,19:20,11,TRUE,200,no,10,TRUE,210,no,,,,,19.4,21.0,455981.8,3972398.4,27/04/2023,ACCEPTED ,FALSE,FALSE,FALSE
56,07/03/2023,08:00,08/03/2023,09:00,2.21,20.79,23,13.80,20.00,24.19,0.79,3.40,GPBL ,08/03/2023,19:30,21:00,10,TRUE,180,yes,9,TRUE,195,yes,,,,,17.5,19.0,455976.5,3972394.6,27/04/2023,REJECTED,12,18,21
53,08/03/2023,12:45,10/03/2023,15:00,2,21.5,23.5,13.30,21.00,24.30,0.5,2.80,Polifort,10/03/2023,14:50,16:20,10,TRUE,200,no,9,TRUE,170,no,,,,,17.5,19.0,455971.8,3972389.9,27/04/2023,REJECTED,FALSE,FALSE,0.8
50,10/03/2023,08:00,10/03/2023,14:00,2.02,20.98,23,13.20,20.50,24.78,0.48,3.80,Polifort,13/03/2023,15:30,17:30,10,TRUE,210,no,10,TRUE,190,no,,,,,17.8,20.0,455967.8,3972387.0,27/04/2023,REJECTED,FALSE,9,4.5
47,11/03/2023,07:30,13/03/2023,08:30,2.03,20.97,23,13.20,20.50,24.17,0.47,3.20,Polifort,14/03/2023,16:30,17:45,10,TRUE,200,no,10,TRUE,210,no,,,,,17.4,20.0,455964.1,3972384.3,27/04/2023,REJECTED,FALSE,17,1.5
41,13/03/2023,08:00,14/03/2023,14:20,2.28,20.72,23,13.00,20.50,24.72,0.22,4.00,Polifort,15/03/2023,17:30,18:30,10,TRUE,210,no,9,TRUE,220,no,,,,,17.9,19.0,455954.2,3972378.6,27/04/2023,REJECTED,FALSE,11,2
44,15/03/2023,07:00,15/03/2023,17:00,1.89,22.77,24.66,13.15,22,26.11,0.77,3.34,Polifort,17/03/2023,14:50,16:30,10,TRUE,195,no,10,TRUE,190,no,,,,,18.6,20.0,455960.1,3972381.5,27/04/2023,REJECTED,25.91,FALSE,FALSE
45,16/03/2023,15:00,17/03/2023,10:00,1.96,22.04,24,15.50,21.5,25.54,0.54,3.50,Polifort,18/03/2023,18:40,20:30,10,TRUE,170,no,10.5,TRUE,170,no,,,,,18.3,20.5,455963.0,3972377.4,27/04/2023,ACCEPTED ,FALSE,FALSE,FALSE
48,18/03/2023,11:30,20/03/2023,10:00,1.98,22.03,24.01,13.20,21.5,25.52,0.53,3.49,Polifort,21/03/2023,16:00,17:30,10,TRUE,190,no,10,TRUE,220,no,,,,,18.3,20.0,455967.0,3972380.3,27/04/2023,ACCEPTED ,FALSE,FALSE,FALSE
51,22/03/2023,13:30,23/03/2023,17:30,1.86,21.64,23.5,13.70,21.5,25.6,0.14,3.96,Polifort,24/03/2023,20:15,21:30,10.5,TRUE,200,no,10,TRUE,230,no,,,,,18.3,20.5,455970.7,3972382.9,27/04/2023,REJECTED,FALSE,FALSE,1.77
57,24/03/2023,07:00,25/03/2023,17:30,1.81,21.19,23,14.30,20.5,24.69,0.69,3.50,Polifort,27/03/2023,18:00,20:40,10,TRUE,225,no,9,TRUE,210,no,,,,,17.6,19.0,455979.4,3972390.6,27/04/2023,REJECTED,24.1,FALSE,1.5
54,27/03/2023,07:00,27/03/2023,17:30,1.93,21.07,23,14.20,20.5,24.57,0.57,3.50,Polifort,28/03/2023,16:45,17:30,10,TRUE,200,no,9,TRUE,220,no,,,,,17.6,19.0,455974.7,3972385.8,27/04/2023,REJECTED,FALSE,FALSE,0.2
13,29/03/2023,10:00,30/03/2023,08:00,2.02,17.98,20,14.79,14.8,22.3,3.18,4.32,Polifort,30/03/2023,15:40,17:15,9,TRUE,210,no,9,TRUE,180,no,,,,,16.2,18.0,455907.7,3972351.4,27/04/2023,REJECTED,24,FALSE,1.5
16,31/03/2023,10:00,01/04/2023,17:30,1.78,21.22,23,14.60,20.5,23.72,0.72,2.50,Polifort,03/04/2023,15:00,16:30,9,TRUE,210,no,9,TRUE,210,no,,,,,17.0,18.0,455913.7,3972354.2,26/05/2023,REJECTED,FALSE,4,1
34,03/04/2023,09:00,03/04/2023,17:30,1.8,21.2,23,14.60,20.5,24.7,0.7,3.50,Polifort,04/04/2023,15:50,17:00,10,TRUE,210,no,9,TRUE,205,no,,,,,17.6,19.0,455941.0,3972374.5,24/05/2023,REJECTED,FALSE,4,2
38,15/04/2023,15:00,17/04/2023,15:20,2.04,23.96,26,13.80,23,27.66,0.96,3.70,Polifort,18/04/2023,16:30,18:30,11,TRUE,210,no,10,TRUE,215,no,,,,,19.7,21.0,455948.8,3972374.8,24/05/2023,REJECTED,27,9,1
42,18/04/2023,16:30,19/04/2023,14:50,2.03,21.97,24,13.50,21.5,25.47,0.47,3.50,Polifort,20/04/2023,16:58,18:52,10,TRUE,215,no,10,TRUE,220,no,,,,,18.3,20.0,455957.1,3972374.5,26/05/2023,REJECTED,FALSE,FALSE,0.5
32,20/04/2023,09:00,22/04/2023,12:00,2.48,23.52,26,14.30,22.5,27.12,1.02,3.60,Polifort,24/04/2023,18:30,19:34,11,TRUE,220,no,10,TRUE,220,no,,,,,19.7,21.0,455938.2,3972367.1,24/05/2023,ACCEPTED ,FALSE,FALSE,FALSE
35,24/04/2023,13:00,25/04/2023,08:00,2.22,20.78,23,14.00,20,25.28,0.78,4.50,Polifort,25/04/2023,18:00,19:00,10,TRUE,215,no,10,TRUE,200,no,,,,,18.3,20.0,455943.5,3972371.0,24/05/2023,ACCEPTED ,FALSE,FALSE,FALSE
29,25/04/2023,14:00,27/04/2023,12:00,1.83,24.17,26,13.80,23,28.57,1.17,4.40,Polifort,05/05/2023,18:30,20:00,11.5,TRUE,200,no,10,TRUE,195,no,,,,,20.2,21.5,455932.9,3972363.3,-,,,,
26,27/04/2023,16:13,28/04/2023,18:00,2.13,26.67,28.8,13.50,23,29.67,3.67,3.00,Polifort,29/04/2023,16:30,17:50,12,TRUE,230,no,11,TRUE,200,no,,,,,21.1,23.0,455928.3,3972358.6,26/05/2023,ACCEPTED ,FALSE,FALSE,FALSE
23,29/04/2023,11:00,03/05/2023,17:00,2.02,28.98,31,13.60,23,32.78,5.98,3.80,Polifort,04/05/2023,18:50,21:20,12,TRUE,195,yes,12,TRUE,200,yes,,,,,23.1,24.0,455924.3,3972355.7,26/05/2023,ACCEPTED ,FALSE,FALSE,FALSE
20,04/05/2023,10:00,06/05/2023,12:00,2.07,24.93,27,13.80,23,28.23,1.93,3.30,Polifort,08/05/2023,14:30,16:20,11,TRUE,230,no,11,TRUE,220,no,,,,,20.1,22.0,455920.6,3972353.1,-,,,,
33,06/05/2023,17:00,08/05/2023,13:00,2.17,25.03,27.2,14.00,23.5,28.63,1.53,3.60,Polifort,09/05/2023,16:00,17:30,11,TRUE,220,no,11,TRUE,225,no,,,,,20.5,22.0,455941.1,3972363.1,-,,,,
36,10/05/2023,10:00,10/05/2023,18:30,1.87,25.33,27.2,14.50,23.5,28.73,1.83,3.40,Polifort,11/05/2023,17:20,19:00,11.5,TRUE,180,no,10,TRUE,230,no,,,,,20.3,21.5,455946.4,3972366.9,-,,,,
39,11/05/2023,11:00,11/05/2023,18:45,2.11,25.19,27.3,14.00,23.5,28.49,1.69,3.30,Polifort,13/05/2023,15:00,17:00,10,TRUE,220,no,11.5,TRUE,190,no,,,,,20.3,21.5,455951.8,3972370.7,26/05/2023,REJECTED,28,FALSE,FALSE
10,12/05/2023,16:00,15/05/2023,07:00,1.86,21.14,23,14.19,14.2,24.94,6.94,3.80,Polifort,15/05/2023,18:45,20:20,10,TRUE,195,no,9,TRUE,180,no,,,,,17.8,19.0,455902.4,3972347.6,26/05/2023,REJECTED,FALSE,FALSE,1
7,15/05/2023,11:00,16/05/2023,08:00,2.15,17.85,20,13.99,14,21.05,3.85,3.20,Polifort,17/05/2023,12:00,13:30,10,TRUE,195,no,7,TRUE,175,no,,,,,15.4,17.0,455896.9,3972344.0,-,,,,
4,16/05/2023,11:00,17/05/2023,07:00,1.97,18.03,20,13.99,14,21.3,4.03,3.27,Polifort,18/05/2023,13:40,15:40,10,TRUE,205,no,7.5,TRUE,175,no,,,,,15.5,17.5,455891.8,3972339.9,-,,,,
8,18/05/2023,07:00,19/05/2023,16:00,2.1,23.9,26,14.70,23.2,27.7,0.7,3.80,Polifort,20/05/2023,13:40,15:50,10,Shear,185,no,11.5,TRUE,205,no,,,,,19.8,21.5,455900.0,3972339.7,-,,,,
11,21/05/2023,10:00,22/05/2023,17:30,2.16,23.84,26,14.40,23.3,27.54,0.54,3.70,Polifort,23/05/2023,17:50,19:30,11,TRUE,175,no,11,TRUE,205,no,,,,,19.7,22.0,455905.3,3972343.5,-,,,,
14,23/05/2023,11:00,24/05/2023,11:30,1.82,24.18,26,14.20,23.2,27.6,0.98,3.42,Polifort,25/05/2023,15:00,17:30,11,TRUE,230,no,11,TRUE,220,no,4,TRUE,220,,19.6,26.0,455910.6,3972347.3,-,,,,
